300-00-00-00;0;0;0;0;RECURSOS ;3;A;;;T;;;30000
301-00-00-00;1;0;0;0; INGRESOS ORDINARIOS ;3;A;;;T;;;301000000
301-01-00-00;1;1;0;0; IMPUESTOS DIRECTOS ;3;A;;;T;;;301010000
301-01-01-00;1;1;1;0; IMPUESTO SOBRE LA RENTA A PERSONAS JURIDICAS ;3;A;;;D;;;301010100
301-01-01-01;1;1;1;1; IMPUESTO A EMPRESAS DE HIDROCARBUROS PRIVADAS ;3;A;;;D;;;301010101
301-01-01-02;1;1;1;2; IMPUESTO A EMPRESAS DE HIDROCARBUROS PUBLICAS - OPERADORAS Y COMERCIALIZADORAS ;3;A;;;D;;;301010102
301-01-01-03;1;1;1;3; IMPUESTO A EMPRESAS DE HIDROCARBUROS PUBLICAS - PETROLEOS DE VENEZUELA, S.A(PDVSA) CASA MATRIZ Y OTRAS FILIALES ;3;A;;;D;;;301010103
301-01-01-04;1;1;1;4; IMPUESTO ADICIONAL A EMPRESAS DE HIDROCARBUROS PRIVADAS ;3;A;;;D;;;301010104
301-01-01-05;1;1;1;5; IMPUESTO ADICIONAL A EMPRESAS DE HIDROCARBUROS PUBLICAS - OPERADORAS Y COMERCIALIZADORAS ;3;A;;;D;;;301010105
301-01-01-06;1;1;1;6; IMPUESTO ADICIONAL A EMPRESAS DE HIDROCARBUROS PUBLICAS - OTRAS FILIALES DEPETROLEOS DE VENEZUELA, S.A. (PDVSA) ;3;A;;;D;;;301010106
301-01-01-07;1;1;1;7; IMPUESTO A EMPRESAS MINERAS SECTOR HIERRO ;3;A;;;D;;;301010107
301-01-01-08;1;1;1;8; IMPUESTO A EMPRESAS MINERAS SECTOR OTROS MINERALES ;3;A;;;D;;;301010108
301-01-01-09;1;1;1;9; IMPUESTO ADICIONAL A EMPRESAS MINERAS SECTOR HIERRO ;3;A;;;D;;;301010109
301-01-01-10;1;1;1;10; IMPUESTO ADICIONAL A EMPRESAS MINERAS SECTOR OTROS MINERALES ;3;A;;;D;;;301010110
301-01-01-11;1;1;1;11; IMPUESTO SOBRE LA RENTA A OTRAS PERSONAS JURIDICAS ;3;A;;;D;;;301010111
301-01-02-00;1;1;2;0; IMPUESTO SOBRE LA RENTA A PERSONAS NATURALES ;3;A;;;D;;;301010200
301-01-03-00;1;1;3;0; IMPUESTOS SOBRE SUCESIONES, DONACIONES Y DEMÁS RAMOS CONEXOS ;3;A;;;D;;;301010300
301-01-04-00;1;1;4;0; REPAROS ADMINISTRATIVOS POR IMPUESTO SOBRE LA  RENTA  A PERSONAS JURIDICAS ;3;A;;;D;;;301010400
301-01-04-01;1;1;4;1; REPAROS ADMINISTRATIVOS POR IMPUESTO A EMPRESAS DE HIDROCARBUROS PRIVADAS ;3;A;;;D;;;301010401
301-01-04-02;1;1;4;2; REPAROS ADMINISTRATIVOS A EMPRESAS DE HIDROCARBUROS PUBLICAS - OPERADORAS YCOMERCIALIZADORAS ;3;A;;;D;;;301010402
301-01-04-03;1;1;4;3; REPAROS ADMINISTRATIVOS A EMPRESAS DE HIDROCARBUROS PUBLICAS - OTRAS FILIALES DE PETROLEOS DE VENEZUELA, S.A (PDVSA) ;3;A;;;D;;;301010403
301-01-04-04;1;1;4;4; REPAROS ADMINISTRATIVOS A EMPRESAS MINERAS SECTOR HIERRO ;3;A;;;D;;;301010404
