cod_partida;partida1;generica;especifica;subespecifica;denominacion;cod_tipocuenta;Estado;UltimoUsuario;UltimaFecha;tipo;nivel
300.00.00.00;0;0;0;0;RECURSOS;3;A;;0000-00-00 00:00:00;T;1
301.00.00.00;1;0;0;0;INGRESOS ORDINARIOS;3;A;;0000-00-00 00:00:00;T;2
301.01.00.00;1;1;0;0;IMPUESTOS DIRECTOS;3;A;;0000-00-00 00:00:00;T;3
301.01.01.00;1;1;1;0;IMPUESTO SOBRE LA RENTA A PERSONAS JURIDICAS;3;A;;0000-00-00 00:00:00;D;4
301.01.01.01;1;1;1;1;IMPUESTO A EMPRESAS DE HIDROCARBUROS PRIVADAS;3;A;;0000-00-00 00:00:00;D;5
301.01.01.02;1;1;1;2;IMPUESTO A EMPRESAS DE HIDROCARBUROS PUBLICAS - OPERADORAS Y COMERCIALIZADORAS;3;A;;0000-00-00 00:00:00;D;5
301.01.01.03;1;1;1;3;IMPUESTO A EMPRESAS DE HIDROCARBUROS PUBLICAS - PETROLEOS DE VENEZUELA, S.A (PDVSA) CASA MATRIZ Y OTRAS FILIALES;3;A;;0000-00-00 00:00:00;D;5
301.01.01.04;1;1;1;4;IMPUESTO ADICIONAL A EMPRESAS DE HIDROCARBUROS PRIVADAS;3;A;;0000-00-00 00:00:00;D;5
301.01.01.05;1;1;1;5;IMPUESTO ADICIONAL A EMPRESAS DE HIDROCARBUROS PUBLICAS - OPERADORAS Y COMERCIALIZADORAS;3;A;;0000-00-00 00:00:00;D;5
301.01.01.06;1;1;1;6;IMPUESTO ADICIONAL A EMPRESAS DE HIDROCARBUROS PUBLICAS - OTRAS FILIALES DE PETROLEOS DE VENEZUELA, S.A. (PDVSA);3;A;;0000-00-00 00:00:00;D;5
301.01.01.07;1;1;1;7;IMPUESTO A EMPRESAS MINERAS SECTOR HIERRO;3;A;;0000-00-00 00:00:00;D;5
301.01.01.08;1;1;1;8;IMPUESTO A EMPRESAS MINERAS SECTOR OTROS MINERALES;3;A;;0000-00-00 00:00:00;D;5
301.01.01.09;1;1;1;9;IMPUESTO ADICIONAL A EMPRESAS MINERAS SECTOR HIERRO;3;A;;0000-00-00 00:00:00;D;5
301.01.01.10;1;1;1;10;IMPUESTO ADICIONAL A EMPRESAS MINERAS SECTOR OTROS MINERALES;3;A;;0000-00-00 00:00:00;D;5
301.01.01.11;1;1;1;11;IMPUESTO SOBRE LA RENTA A OTRAS PERSONAS JURIDICAS;3;A;;0000-00-00 00:00:00;D;5
301.01.02.00;1;1;2;0;IMPUESTO SOBRE LA RENTA A PERSONAS NATURALES;3;A;;0000-00-00 00:00:00;D;4
301.01.03.00;1;1;3;0;IMPUESTOS SOBRE SUCESIONES, DONACIONES Y DEMAS RAMOS CONEXOS;3;A;;0000-00-00 00:00:00;D;4
301.01.04.00;1;1;4;0;REPAROS ADMINISTRATIVOS POR IMPUESTO SOBRE LA RENTA A PERSONAS JURIDICAS;3;A;;0000-00-00 00:00:00;D;4
301.01.04.01;1;1;4;1;REPAROS ADMINISTRATIVOS POR IMPUESTO A EMPRESAS DE HIDROCARBUROS PRIVADAS;3;A;;0000-00-00 00:00:00;D;5
301.01.04.02;1;1;4;2;REPAROS ADMINISTRATIVOS A EMPRESAS DE HIDROCARBUROS PUBLICAS - OPERADORAS Y COMERCIALIZADORAS;3;A;;0000-00-00 00:00:00;D;5
301.01.04.03;1;1;4;3;REPAROS ADMINISTRATIVOS A EMPRESAS DE HIDROCARBUROS PUBLICAS - OTRAS FILIALES DE PETROLEOS DE VENEZUELA, S.A (PDVSA);3;A;;0000-00-00 00:00:00;D;5
301.01.04.04;1;1;4;4;REPAROS ADMINISTRATIVOS A EMPRESAS MINERAS SECTOR HIERRO;3;A;;0000-00-00 00:00:00;D;5
301.01.04.05;1;1;4;5;REPAROS ADMINISTRATIVOS A EMPRESAS MINERAS SECTOR OTROS MINERALES;3;A;;0000-00-00 00:00:00;D;5
301.01.04.06;1;1;4;6;REPAROS ADMINISTRATIVOS A OTRAS PERSONAS JURIDICAS;3;A;;0000-00-00 00:00:00;D;5
301.01.05.00;1;1;5;0;REPAROS ADMINISTRATIVOS POR IMPUESTO SOBRE LA RENTA A PERSONAS NATURALES;3;A;;0000-00-00 00:00:00;D;4
301.01.06.00;1;1;6;0;REPAROS ADMINISTRATIVOS A IMPUESTO SOBRE SUCESIONES, DONACIONES Y DEMAS RAMOS CONEXOS;3;A;;0000-00-00 00:00:00;D;4
301.02.00.00;1;2;0;0;IMPUESTOS INDIRECTOS;3;A;;0000-00-00 00:00:00;T;3
301.02.01.00;1;2;1;0;IMPUESTOS DE IMPORTACION;3;A;;0000-00-00 00:00:00;D;4
301.02.01.01;1;2;1;1;IMPUESTO DE IMPORTACION ORDINARIO;3;A;;0000-00-00 00:00:00;D;5
301.02.01.02;1;2;1;2;IMPUESTO DE IMPORTACION DE BULTOS POSTALES;3;A;;0000-00-00 00:00:00;D;5
301.02.01.03;1;2;1;3;IMPUESTO INTERNO POR LA IMPORTACION DE ALCOHOLES Y BEBIDAS ALCOHOLICAS;3;A;;0000-00-00 00:00:00;D;5
301.02.02.00;1;2;2;0;IMPUESTO DE EXPORTACION;3;A;;0000-00-00 00:00:00;D;4
301.02.03.00;1;2;3;0;IMPUESTO SOBRE LA PRODUCCION, EL CONSUMO Y TRANSACCIONES FINANCIERAS;3;A;;0000-00-00 00:00:00;D;4
301.02.03.01;1;2;3;1;IMPUESTO SOBRE ALCOHOLES DE PRODUCCION NACIONAL;3;A;;0000-00-00 00:00:00;D;5
301.02.03.02;1;2;3;2;IMPUESTO SOBRE BEBIDAS ALCOHOLICAS DE PRODUCCION NACIONAL;3;A;;0000-00-00 00:00:00;D;5
301.02.03.03;1;2;3;3;IMPUESTO SOBRE CERVEZA DE PRODUCCION NACIONAL;3;A;;0000-00-00 00:00:00;D;5
301.02.03.04;1;2;3;4;IMPUESTO SOBRE VINOS DE PRODUCCION NACIONAL;3;A;;0000-00-00 00:00:00;D;5
301.02.03.05;1;2;3;5;IMPUESTO SOBRE EL PRECIO DE VENTA AL PUBLICO DE LAS CERVEZAS Y VINOS NATURALES DE PRODUCCION NACIONAL;3;A;;0000-00-00 00:00:00;D;5
301.02.03.06;1;2;3;6;IMPUESTO SOBRE EL PRECIO DE VENTA AL PUBLICO DE LAS CERVEZAS Y VINOS NATURALES IMPORTADOS;3;A;;0000-00-00 00:00:00;D;5
301.02.03.07;1;2;3;7;IMPUESTO SOBRE EL PRECIO DE VENTA AL PUBLICO DE OTRAS BEBIDAS HASTA 50.0N;3;A;;0000-00-00 00:00:00;D;5
301.02.03.08;1;2;3;8;IMPUESTO SOBRE EL PRECIO DE VENTA AL PUBLICO DE OTRAS BEBIDAS HASTA 50.0N;3;A;;0000-00-00 00:00:00;D;5
301.02.03.09;1;2;3;9;IMPUESTO SOBRE EXPEDICION AL PUBLICO DE ESPECIES ALCOHOLICAS IMPORTADAS;3;A;;0000-00-00 00:00:00;D;5
301.02.03.10;1;2;3;10;IMPUESTO SOBRE EXPEDICION AL PUBLICO DE ESPECIES ALCOHOLICAS NACIONALES;3;A;;0000-00-00 00:00:00;D;5
301.02.03.11;1;2;3;11;IMPUESTO SOBRE LA VENTA DE CIGARRILLOS, TABACOS Y PICADURAS IMPORTADAS;3;A;;0000-00-00 00:00:00;D;5
301.02.03.12;1;2;3;12;IMPUESTO SOBRE LA VENTA DE CIGARRILLOS, TABACOS Y PICADURAS DE PRODUCCION NACIONAL;3;A;;0000-00-00 00:00:00;D;5
301.02.03.13;1;2;3;13;IMPUESTO A LA PRODUCCION DE FOSFOROS;3;A;;0000-00-00 00:00:00;D;5
301.02.03.14;1;2;3;14;VENTAJAS ESPECIALES POR FABRICACION DE FOSFOROS;3;A;;0000-00-00 00:00:00;D;5
301.02.03.15;1;2;3;15;IMPUESTO AL CONSUMO PROPIO DE GASOLINA;3;A;;0000-00-00 00:00:00;D;5
301.02.03.16;1;2;3;16;IMPUESTO AL CONSUMO GENERAL A LA GASOLINA;3;A;;0000-00-00 00:00:00;D;5
301.02.03.17;1;2;3;17;IMPUESTO AL CONSUMO PROPIO DE OTROS DERIVADOS DEL PETROLEO;3;A;;0000-00-00 00:00:00;D;5
301.02.03.18;1;2;3;18;IMPUESTO AL CONSUMO GENERAL DE OTROS DERIVADOS DEL PETROLEO;3;A;;0000-00-00 00:00:00;D;5
301.02.03.19;1;2;3;19;IMPUESTO SOBRE TELECOMUNICACIONES;3;A;;0000-00-00 00:00:00;D;5
301.02.03.20;1;2;3;20;IMPUESTO AL VALOR AGREGADO SOBRE LA IMPORTACION DE BIENES Y SERVICIOS;3;A;;0000-00-00 00:00:00;D;5
